# case=A3-Lax-like
# t=8.186081e-04 s     P_star=1.504977e+06 Pa   u_star=3.316424e+02 m/s
# S_L_head= -188.634  S_L_tail=  +14.674  S_contact= +331.642  S_R_tail= +570.144  S_R_head= +570.144 m/s
x[m],rho[kg/m^3],u[m/s],P[bar]
0.000000,32.518713,150.0000,30.000000
0.002500,32.518713,150.0000,30.000000
0.005000,32.518713,150.0000,30.000000
0.007500,32.518713,150.0000,30.000000
0.010000,32.518713,150.0000,30.000000
0.012500,32.518713,150.0000,30.000000
0.015000,32.518713,150.0000,30.000000
0.017500,32.518713,150.0000,30.000000
0.020000,32.518713,150.0000,30.000000
0.022500,32.518713,150.0000,30.000000
0.025000,32.518713,150.0000,30.000000
0.027500,32.518713,150.0000,30.000000
0.030000,32.518713,150.0000,30.000000
0.032500,32.518713,150.0000,30.000000
0.035000,32.518713,150.0000,30.000000
0.037500,32.518713,150.0000,30.000000
0.040000,32.518713,150.0000,30.000000
0.042500,32.518713,150.0000,30.000000
0.045000,32.518713,150.0000,30.000000
0.047500,32.518713,150.0000,30.000000
0.050000,32.518713,150.0000,30.000000
0.052500,32.518713,150.0000,30.000000
0.055000,32.518713,150.0000,30.000000
0.057500,32.518713,150.0000,30.000000
0.060000,32.518713,150.0000,30.000000
0.062500,32.518713,150.0000,30.000000
0.065000,32.518713,150.0000,30.000000
0.067500,32.518713,150.0000,30.000000
0.070000,32.518713,150.0000,30.000000
0.072500,32.518713,150.0000,30.000000
0.075000,32.518713,150.0000,30.000000
0.077500,32.518713,150.0000,30.000000
0.080000,32.518713,150.0000,30.000000
0.082500,32.518713,150.0000,30.000000
0.085000,32.518713,150.0000,30.000000
0.087500,32.518713,150.0000,30.000000
0.090000,32.518713,150.0000,30.000000
0.092500,32.518713,150.0000,30.000000
0.095000,32.518713,150.0000,30.000000
0.097500,32.518713,150.0000,30.000000
0.100000,32.518713,150.0000,30.000000
0.102500,32.518713,150.0000,30.000000
0.105000,32.518713,150.0000,30.000000
0.107500,32.518713,150.0000,30.000000
0.110000,32.518713,150.0000,30.000000
0.112500,32.518713,150.0000,30.000000
0.115000,32.518713,150.0000,30.000000
0.117500,32.518713,150.0000,30.000000
0.120000,32.518713,150.0000,30.000000
0.122500,32.518713,150.0000,30.000000
0.125000,32.518713,150.0000,30.000000
0.127500,32.518713,150.0000,30.000000
0.130000,32.518713,150.0000,30.000000
0.132500,32.518713,150.0000,30.000000
0.135000,32.518713,150.0000,30.000000
0.137500,32.518713,150.0000,30.000000
0.140000,32.518713,150.0000,30.000000
0.142500,32.518713,150.0000,30.000000
0.145000,32.518713,150.0000,30.000000
0.147500,32.518713,150.0000,30.000000
0.150000,32.518713,150.0000,30.000000
0.152500,32.518713,150.0000,30.000000
0.155000,32.518713,150.0000,30.000000
0.157500,32.518713,150.0000,30.000000
