# case=B1-Comp-L-expand
# t=7.818949e-04 s     P_star=6.879363e+06 Pa   u_star=1.084366e+01 m/s
# S_L_head= -511.578  S_L_tail= -472.662  S_contact=  +10.844  S_R_tail= +313.075  S_R_head= +313.075 m/s
x[m],rho[kg/m^3],u[m/s],P[bar]
0.000000,959.323204,0.0000,120.000000
0.002500,959.323204,0.0000,120.000000
0.005000,959.323204,0.0000,120.000000
0.007500,959.323204,0.0000,120.000000
0.010000,959.323204,0.0000,120.000000
0.012500,959.323204,0.0000,120.000000
0.015000,959.323204,0.0000,120.000000
0.017500,959.323204,0.0000,120.000000
0.020000,959.323204,0.0000,120.000000
0.022500,959.323204,0.0000,120.000000
0.025000,959.323204,0.0000,120.000000
0.027500,959.323204,0.0000,120.000000
0.030000,959.323204,0.0000,120.000000
0.032500,959.323204,0.0000,120.000000
0.035000,959.323204,0.0000,120.000000
0.037500,959.323204,0.0000,120.000000
0.040000,959.323204,0.0000,120.000000
0.042500,959.323204,0.0000,120.000000
0.045000,959.323204,0.0000,120.000000
0.047500,959.323204,0.0000,120.000000
0.050000,959.323204,0.0000,120.000000
0.052500,959.323204,0.0000,120.000000
0.055000,959.323204,0.0000,120.000000
0.057500,959.323204,0.0000,120.000000
0.060000,959.323204,0.0000,120.000000
0.062500,959.323204,0.0000,120.000000
0.065000,959.323204,0.0000,120.000000
0.067500,959.323204,0.0000,120.000000
0.070000,959.323204,0.0000,120.000000
0.072500,959.323204,0.0000,120.000000
0.075000,959.323204,0.0000,120.000000
0.077500,959.323204,0.0000,120.000000
0.080000,959.323204,0.0000,120.000000
0.082500,959.323204,0.0000,120.000000
0.085000,959.323204,0.0000,120.000000
0.087500,959.323204,0.0000,120.000000
0.090000,959.323204,0.0000,120.000000
0.092500,959.323204,0.0000,120.000000
0.095000,959.323204,0.0000,120.000000
0.097500,959.323204,0.0000,120.000000
0.100000,959.323204,0.0000,120.000000
0.102500,957.653248,0.8893,115.649280
0.105000,955.977980,1.7789,111.324108
0.107500,954.297376,2.6689,107.024554
0.110000,952.611401,3.5592,102.750699
0.112500,950.919981,4.4497,98.502691
0.115000,949.223723,5.3407,94.279598
0.117500,947.521799,6.2318,90.082779
0.120000,945.814524,7.1232,85.911776
0.122500,944.101892,8.0149,81.766634
